# 自拟释义　词 ⇥ 释义 ⇥ 例句（可空） ⇥ 拼音订正（可空）
#
# 课本注释、成语释义、新华词语三本都查不着的词，写在这儿。页面上标成「自拟」，
# 跟课本、成语、新华三级分得开——查不到这件事本身就说明考察概率低，
# 别让人误当权威。
#
# 这是**人工账本**：words.py 只读不写，重跑不会冲掉（和 tools/hardchars.tsv 一个机制）。
# 词是 words.py 报在 extract/缺释义.txt 里的，补完这张表再跑一次就进 data.js。
#
# 第四列是拼音订正：自动注音错了、又确实该收的词写在这儿，覆盖 pypinyin 的结果。
# 现在只有「岑参」一条——诗人名里的「参」读 shēn，机器按常用音注成 cān。
#
# 人名按使用者定的写法：人名，字…号…，某朝某家，写过《…》。

# ── 人名 ──
朱熹	人名，字元晦，号晦庵，南宋理学家，写过《四书章句集注》。
形骸之外	超脱于身体形迹之外，指不受世俗礼法拘束。
膏腴之壤	肥沃的土地。膏腴，肥美。
囿于见闻	被自己的见识所局限。囿，局限。
五彩斑斓	色彩繁多而灿烂夺目。
跌宕起伏	形容事物或文章的情节高低变化、富于波折。
起伏跌宕	同「跌宕起伏」，指高低变化、富于波折。	这篇小说情节{起伏跌宕}，一口气读得下来。
挈妇将雏	带着妻子儿女。挈，带领；雏，幼儿。鲁迅诗「挈妇将雏鬓有丝」。	鲁迅有诗「{挈妇将雏}鬓有丝」，写避难时的狼狈。
摇曳多姿	摆动飘荡，姿态优美多变。	湖边垂柳{摇曳多姿}，风一过就满岸生烟。
撒手人寰	撒开手离开人世，指去世。人寰，人间。
经纶天下	治理国家大事。经纶，本指整理丝线，引申为筹划治理。	读书人自负有{经纶天下}之才，却未必用得上。
怵惕恻隐	惊骇怜悯。怵惕，惊惧；恻隐，同情不忍。
黄门驸马	汉代宫中掌管车马的官，由宦官充任。

# ── 文言词 ──
芣苢	车前草，古人以为其子可以治妇人病。《诗经·周南》有《芣苢》篇。
笺注	对古书的注解。笺是对旧注的补充和订正，注是解释字句。
虫豸	虫子的通称。豸，无足的虫。旧时也用来骂人。
须臾	一会儿，片刻。
不啻	不止，不亚于。啻，止。
彷徨	走来走去拿不定主意，犹豫不决。
肺腑	比喻内心深处。肺腑之言即真心话。
玳瑁	一种海龟，甲壳有花纹，可作装饰品。
胭脂	红色的化妆品，也指红色。
豆蔻	一种草本植物，旧时用来比喻十三四岁的少女。
采撷	采摘。撷，摘取。
隽永	意味深长，耐人寻味。
饥馑	荒年，五谷收成不好。谷不熟为饥，蔬不熟为馑。
嘲哳	形容声音杂乱细碎，不悦耳。也写作「啁哳」。
嫠妇	寡妇。嫠，丧夫的妇人。
形骸	人的身体、形体。
怂恿	从旁鼓动别人去做某事。
急遽	急速，匆忙。
敌忾	对敌人的愤恨。同仇敌忾即怀着共同的愤恨对付敌人。
殒命	丧命。殒，死亡。
泯灭	消失，磨灭。
猝然	突然，出乎意料。
玉帛	玉器和丝织品，古代用作诸侯会盟、朝聘的礼物，引申指和好。
皎皎	明亮洁白的样子。
盎然	气氛、趣味洋溢的样子，如春意盎然。
肯綮	筋骨结合的地方，比喻事情的关键。「批郤导窾」的窾与此相类。
膏腴	肥沃。膏，油脂；腴，肥美。
苍穹	天空。穹，中间隆起的样子。
蓦地	突然，冷不防。
蛟龙	古代传说中能兴云雨、发洪水的龙类。
裨益	好处，益处；也指使受益。
谏诤	直言规劝君主或尊长的过失。	魏征敢于{谏诤}，唐太宗也容得下他。
阑干	纵横交错的样子，如「泪阑干」；也同「栏杆」。
雍容	形容仪态大方、从容不迫。
雷霆	暴雷，霹雳，比喻威势或震怒。
鞭笞	用鞭子抽打，比喻严厉压迫。
亘古	自古以来，整个古代。亘，贯穿。
仓猝	匆忙，事出突然。也写作「仓促」。
仕宦	做官。
佞人	用花言巧语谄媚取宠的人。	亲贤臣、远{佞人}，是《出师表》反复叮咛的话。
偌大	这么大，那么大。
凋落	草木凋谢零落，也指人死去。
凫水	游水。凫，野鸭，善浮水。
匡正	纠正，扶正。	御史的职责是{匡正}朝廷得失。
卷帙	书籍。帙是包书的套子，卷帙浩繁形容书多。
后裔	已经死去的人的子孙后代。	孔子的{后裔}至今仍住在曲阜。
商榷	商量，讨论。
喋喋	说话没完没了。喋喋不休即唠叨个不停。
喋血	血流遍地，形容杀戮之惨。
圭臬	比喻准则、法度。圭是测日影的标杆，臬是箭靶，都是取正的器具。
尺牍	书信。古代把书信写在一尺长的木简上。
山麓	山脚。麓，山脚下。
幡然	很快而彻底地改变，如幡然悔悟。也写作「翻然」。	他听完这番话，{幡然}悔悟，当场认了错。
徜徉	自由自在地来回走动。
怆然	悲伤的样子。
恁地	这样，如此。宋元话本、戏曲里的口语。	话本里常见「{恁地}说来，却是我错怪了你」。
悲怆	悲伤凄怆。
悲恸	极度悲哀。恸，大哭。	噩耗传来，全家{悲恸}，哭声不绝。
惭怍	惭愧。怍，羞愧。
斐然	有文采的样子；也形容成绩显著，如成绩斐然。
日臻	一天天地达到。臻，达到。
晓谕	（上对下）明白地告知。	府衙贴出告示，{晓谕}百姓不得夜行。
晨曦	清晨的阳光。曦，日光。
汲汲	心情急切、努力追求的样子。
沟壑	山沟，深谷。旧时也指弃尸山沟，如「转乎沟壑」。	灾年里流民填于{沟壑}，惨不忍睹。
消弭	消除，平息。弭，止息。
深谙	很熟悉，很懂得。谙，熟悉。	他{深谙}此道，一眼就看出破绽。
滥觞	江河发源处水浅得只能浮起酒杯，比喻事物的起源。	《诗经》是中国诗歌的{滥觞}。
烟霭	云雾，烟气。霭，云气。
瓦楞	屋顶上瓦片凹凸相间排成的行列。
盘诘	盘问追究。	守门的兵士把他拦住，再三{盘诘}。
窠臼	旧有的格式、老套子。窠是鸟兽的窝，臼是舂米的石臼。
端倪	事情的头绪、迹象。	查了三天，案子才有了点{端倪}。
笃信	忠实地信仰。笃，忠实、专一。
笃行	切实地践行。
罹难	遭遇灾祸或迫害而死。罹，遭受。
羁旅	长久寄居他乡。羁，寄居；旅，客居。	{羁旅}他乡的人，最怕过年过节。
老妪	老年妇女。妪，年老的女人。
臆造	凭主观想象编造。臆，主观推测。
臆断	凭主观猜测下判断。
蜚声	扬名。蜚，同「飞」。	这位学者早年就{蜚声}海内外。
讥诮	讥讽嘲笑。诮，责备、嘲讽。
诋毁	毁谤，说人坏话。	背后{诋毁}别人，不是君子所为。
谏言	规劝的话。
贵胄	贵族的后代。胄，后裔。
车辕	车前驾牲口的两根直木。	马套在{车辕}上，一声吆喝就走了。
遨游	远游，漫游。
镂刻	雕刻。镂，雕。	这方砚台上{镂刻}着松鹤，刀工极细。
门闩	门关上后插在门内使门推不开的横木或铁棍。
鞭挞	鞭打，比喻严厉批判。
鹄的	箭靶的中心，比喻目标。鹄，箭靶。	射箭先要看准{鹄的}，做事先要立定目标。
贬黜	降职或罢免。黜，革除。	他因直言上书，被{贬黜}到岭南。
劝谏	规劝（君主或尊长）改正过失。	老臣冒死{劝谏}，请君王收回成命。
遑遑	匆忙不安的样子。遑，闲暇。
万籁	自然界的各种声响。籁，孔穴里发出的声音。
不惮	不怕，不畏惧。惮，怕。
冠冕	古代帝王、官员戴的帽子，比喻受人尊崇或居于首位。
旌旗	旗帜的总称。
服膺	牢牢记在心里，衷心信服。膺，胸。
狡狯	狡猾，也指促狭好开玩笑。
嫡亲	血统最近的亲属，如嫡亲兄弟。	他们是{嫡亲}兄弟，模样也像。
子嗣	儿子，后代。嗣，继承。	老人年过七十，膝下仍无{子嗣}。

# ── 现代常用词 ──
青蒿素	从黄花蒿中提取的抗疟药物，屠呦呦因发现它获诺贝尔奖。
琵琶	弹拨乐器，四弦，梨形音箱，竖抱在怀里用手指弹奏。
窸窣	形容细碎的摩擦声，如树叶、衣物相擦的声音。
窸窸窣窣	形容连续不断的细碎摩擦声。
嘈杂	声音杂乱，吵闹。
诠释	说明，解释。
跌宕	富于变化，起伏不定；也指性格放荡不拘。
伶仃	孤独无依；也形容瘦弱，如瘦骨伶仃。
寒暄	见面时谈天气冷暖之类的客套话。暄，温暖。
怅然	失意不痛快的样子。
萦绕	缠绕回旋，不断在眼前耳边出现。
吝啬	过分爱惜财物，当用不用。
咀嚼	用牙齿磨碎食物；比喻反复体会。
忸怩	不好意思、扭捏害羞的样子。
恍惚	神志不清、精神不集中；也指看得不真切。
惆怅	伤感，失意。
愤懑	气愤，心里不平。懑，烦闷。
时髦	合乎时兴的式样，赶潮流。
涅槃	佛教指超脱生死的境界，后也用来指高僧去世、事物获得新生。
磨砺	摩擦使锋利，比喻经受磨炼。
精湛	技艺高超，造诣深厚。
颔联	律诗的第三、四句，八句中的第二联，要求对仗。	律诗的{颔联}要对仗，这是格律的硬规矩。
驾驭	驱使车马；比喻掌握、支配。
黄鹂	鸟名，羽毛黄色，鸣声婉转，也叫黄莺。
凋谢	草木花叶脱落；也指老年人死去。
凋零	草木花叶枯落，比喻衰败零落。	秋风一起，满园花木都{凋零}了。
匍匐	手脚并用趴在地上爬行。
呼哧	形容喘气的声音。
小妞儿	小女孩。妞，北方话称女孩。
妞子	小女孩。
广袤	广阔辽远。东西为广，南北为袤。
怪癖	古怪的、与众不同的癖好。
砧子	捶打或切东西时垫在底下的器具。
禁锢	关押，束缚；也指严密地限制。
胡诌	随口瞎编。诌，编造。
诙谐	说话有趣，引人发笑。
诨名	外号，绰号。
调侃	用言语戏弄、嘲笑。	同学们爱拿他的口音{调侃}几句。
邋遢	不整洁，不利落。
铠甲	古代军人作战时穿的护身衣，用金属片连缀而成。	将军披上{铠甲}，翻身上马。
靛青	深蓝色的染料，也指这种颜色。	蓝草可以制出{靛青}，比蓝草本身还蓝。
靛蓝	深蓝色的有机染料，即靛青。
亲昵	十分亲密。昵，亲近。
叱骂	大声责骂。
呢喃	形容燕子的叫声，也指低声絮语。
咂嘴	舌头抵住上腭发出声音，表示赞叹或惋惜。
咆哮	猛兽怒吼；形容水流奔腾轰鸣或人暴怒喊叫。	洪水在峡谷里{咆哮}着冲下来。
咯咯	形容笑声或母鸡叫声。
嗥叫	（豺狼等）大声嚎叫。
嘟哝	连续不断地小声自言自语。
嘟囔	不断地小声说话，多表示不满。
壕沟	为防御而挖的沟；也指街巷里的排水沟。	战士们连夜在阵地前挖好了{壕沟}。
婀娜	姿态柔软而美好。
嬷嬷	称年长的妇女；旧时也称奶妈。
安谧	安宁，平静。谧，安静。
摈弃	抛弃，排除。摈，排斥。
撺掇	从旁鼓动人做某事。
枇杷	常绿乔木，果实球形，黄色多汁；也指这种果实。
梵文	古印度的书面语言，佛经多用它写成。	玄奘通{梵文}，带回的经卷都是他亲自译的。
残骸	人或动物的尸骨，也指毁坏后剩下的物体。
殡葬	出殡和埋葬，泛指办理丧事。	旧时{殡葬}的规矩极多，样样都讲究。
毗连	（地方）相连接。毗，连接。	我家和学校{毗连}，走两步就到。
毽子	用布、皮包着铜钱或金属片，上面装羽毛，用脚踢的玩具。
汗渍	汗水留下的痕迹。
浩瀚	水势盛大；形容广大繁多。
淬炼	把烧红的金属浸入水中急速冷却使之坚硬，比喻锤炼。
牦牛	产于青藏高原的牛，全身长毛，能耐寒，供役用。	高原上的{牦牛}耐寒，浑身长毛。
癞皮狗	生了癞的狗，比喻卑鄙无耻的人。
白炽灯	通电后灯丝白热而发光的电灯。
白鹭	水鸟，全身白色，腿长颈长，常在水田河边觅食。	「一行{白鹭}上青天」，杜甫写的是成都的春色。
羟基	化学上由氢和氧两种原子组成的原子团，写作 —OH。
翱翔	在空中回旋地飞。
臃肿	过度肥胖，转动不灵；比喻机构庞大、办事不灵。
船舷	船两侧的边沿。
艾蒿	菊科草本植物，有香气，叶可入药，民间端午挂在门上。也叫艾草。
芦荟	多年生草本植物，叶肥厚多汁，可入药。	窗台上养着一盆{芦荟}，叶子厚墩墩的。
蕨类植物	没有种子、靠孢子繁殖的植物，如蕨、卷柏。	苔藓和{蕨类植物}都不开花，靠孢子繁衍。
蚱蜢	昆虫，形似蝗虫而略小，善跳跃，吃庄稼。
蹩脚	质量不好，本领不强。
镯子	戴在手腕或脚腕上的环形装饰品。
飓风	发生在大西洋西部的强烈风暴，也泛指狂风。
黏土	含沙粒很少、有黏性的土壤。	这一带是{黏土}，下过雨走路粘鞋。

# ── 只补例句的词（释义走课本／成语／新华那三级，这儿只给情景） ──
白芷		《离骚》里佩兰{白芷}都是香草，用来比喻高洁。
出仕		他屡辞征辟，终身不肯{出仕}。
嗟夫	文言叹词，相当于「唉」。	「{嗟夫}！予尝求古仁人之心」，范仲淹这一叹很重。
崤山		秦晋在{崤山}打过一仗，秦军全军覆没。
蜀郡		李冰父子治水，是在{蜀郡}修的都江堰。
鄱阳		朱元璋与陈友谅决战于{鄱阳}湖上。
颛顼		五帝之中有{颛顼}，屈原自称是他的后代。
鹢首		古人在船头画鸟，因此把船叫作{鹢首}。
一恸		老友的死讯传来，他伏案{一恸}。
不羁		他生性{不羁}，最厌烦繁文缛节。
傩神		乡里戴着面具驱鬼的，叫作{傩神}。
参差错落		远望群峰{参差错落}，高低不齐。
嗔怨		母亲嘴上{嗔怨}几句，手里还是替他收拾行装。
娴静		她性子{娴静}，整日坐在窗下读书。
孤孀		战乱之后，村里多的是{孤孀}。
嵩山		五岳之中，{嵩山}居中，称为中岳。
斑鸠		树上咕咕叫的是{斑鸠}，颈后有一圈白点。
旄节		苏武持{旄节}牧羊十九年，上头的牦毛都掉光了。
晤谈		两人{晤谈}了半日，相见恨晚。
曲阜		周公受封于鲁，都城就在{曲阜}。
樊川		杜牧自号居士，取的就是长安城南{樊川}的地名。
淋漓尽致		这篇文章把利弊剖析得{淋漓尽致}。
滂沲		大雨{滂沲}，一步也走不出去。
滕王阁		「落霞与孤鹜齐飞」，写的是南昌那座{滕王阁}。
炎炽		六月天气{炎炽}，连风都是烫的。
禹谟		《尚书》里有《大{禹谟}》一篇，讲治国的方略。
箜篌引		「公无渡河」的故事，乐府题作《{箜篌引}》。
缨子		帽盔上垂着一串大红{缨子}，随风乱晃。
羽檄		军情紧急，{羽檄}插着鸟毛，日夜飞传。
胥吏		衙门里的{胥吏}虽无品级，办事却离不了他们。
虞美人		李煜的「春花秋月何时了」，词牌是《{虞美人}》。
诣问		他专程登门{诣问}，请教这段公案。
远眺		登上城楼凭栏{远眺}，一江尽在眼底。
迸射		铁锤砸在石上，{迸射}出一串火星。
迸发		欢呼声从人群里{迸发}出来，震得人耳鸣。
逍遥游		《庄子》开篇就是《{逍遥游}》，讲大鹏南徙。
鄱阳湖		江西北部那片浩大的水面，就是{鄱阳湖}。
马厩	养马的棚舍。	他一早就去{马厩}喂草，惊起一片尘土。
东麓		村子坐落在山的{东麓}，背风向阳。
丫髻		小姑娘头上梳着两个{丫髻}，蹦蹦跳跳。
五羖	指百里奚。秦穆公用五张黑羊皮把他赎了回来，故称。	秦穆公拿几张黑羊皮换回百里奚，人称{五羖}大夫。
仕籍		他的名字早被除了名，不在{仕籍}。
伫立		他在江边{伫立}良久，一句话也不说。
侍僮		书房里只有一个{侍僮}，替他磨墨添茶。
俯瞰		从山顶{俯瞰}，全城尽收眼底。
倏然		那道影子{倏然}一闪，就不见了。
兀傲		此人性情{兀傲}，不肯向权贵低头。
六幺令		唐教坊有《{六幺令}》一曲，又名《绿腰》。
兰渚		会稽山阴有{兰渚}，王羲之曾在此修禊。
凄怆		笛声呜咽，听着叫人{凄怆}。
准噶尔		清代平定{准噶尔}，西北才安定下来。
凭眺		临河的窗子开着，正好倚栏{凭眺}。
勖率		先辈的遗训，后人当{勖率}遵行。
千仞		壁立{千仞}，无欲则刚。
县丞		他起初只做个{县丞}，替一把手打下手。
吐蕃		文成公主入藏，嫁的是{吐蕃}的赞普。
善谏		魏征{善谏}，句句戳在要害上。
坟茔		清明时节，一家人去祖上的{坟茔}扫墓。
堂倌		酒楼的{堂倌}肩上搭条白巾，跑前跑后。
塾师		村里请了位{塾师}，教孩子们读《三字经》。
墐户		《诗经》里说「塞向{墐户}」，是过冬前堵住门窗缝。
墙垣		院子四周的{墙垣}已经坍了半边。
外铄		仁义是本心固有的，不是{外铄}给我的。
如鲠在喉		有话不说出来，真是{如鲠在喉}。
娉娉袅袅	形容女子体态轻盈柔美。	「{娉娉袅袅}十三余」，杜牧写少女的体态。
娴雅		她举止{娴雅}，一看便知读过书。
婢妾		旧时大户人家{婢妾}成群，规矩森严。
媛女		诗里常以{媛女}指代容貌美好的姑娘。
对峙		两军隔江{对峙}，谁也不先动。
尧舜		孟子言必称{尧舜}，认为人人都能做到。
州郡		汉末{州郡}割据，天下大乱。
布幔		台前挂着一道{布幔}，遮住了后台。
席篾儿	编席用的细竹条。	老人坐在门槛上，把竹子剖成一条条{席篾儿}。
府尹		京城的{府尹}官不算小，事却极烦。
弩弓		守城的士卒张开{弩弓}，箭如雨下。
彀中		天下英雄，尽入我{彀中}矣。
心旌		听到这消息，他{心旌}摇动，坐立不安。
忏悔录		卢梭把自己的一生写成《{忏悔录}》。
戍守		将士常年{戍守}边关，不得还乡。
戏谑		同窗之间偶尔{戏谑}几句，并无恶意。
手镯		她腕上戴着一只玉{手镯}，通体莹润。
执笏		群臣{执笏}上朝，鱼贯而入。
抨击		这篇社论{抨击}时弊，毫不留情。
排山倒海		浪头{排山倒海}般压过来，船身一沉。
接踵而至		捷报{接踵而至}，人人振奋。
搪塞		问他三遍，他都拿几句空话{搪塞}。
擢升		他因功{擢升}为将军，众人并无异议。
整饬		新官上任，头一件事是{整饬}吏治。
斑蝥		《从百草园到三味书屋》里按一下会喷烟的，就是{斑蝥}。
无所作为		得过且过、{无所作为}，最是可惜。
日晷		院子里立着一架{日晷}，靠影子报时辰。
晷影	日影。特指日晷上指示时刻的那道影子。	太阳偏西，{晷影}一点点挪过刻度。
晷漏		古人用{晷漏}计时，一昼夜分作百刻。
木屐		谢公当年登山，脚下穿的是{木屐}。
校笺		这部《世说新语》有徐震堮的{校笺}，极便查考。
楔子		桌腿松了，敲进一个{楔子}就稳当了。
榫眼		木匠先在梁上凿好{榫眼}，再把柱头插进去。
沉湎		{沉湎}酒色，是亡国之君的通病。
沙陀		李克用出身{沙陀}，后唐由此发迹。
油蛉		百草园里「{油蛉}在这里低唱」，鲁迅写得极有生气。
浣花		杜甫在成都的草堂，就在{浣花}溪边。
涪翁		黄庭坚晚年贬官在川东，自号{涪翁}。
温煦		冬日的阳光{温煦}，晒得人想打盹。
游手好闲		他整日{游手好闲}，什么正事也不干。
滂沱		大雨{滂沱}，山路成了溪流。
滕王阁序		「落霞与孤鹜齐飞」，出自那篇《{滕王阁序}》。
濠上		庄子与惠子游于{濠上}，辩鱼之乐。
濠梁之上		庄惠二人辩鱼乐，那场问答就发生在{濠梁之上}。
犒劳		仗打赢了，主帅杀牛{犒劳}三军。
犰狳		{犰狳}浑身披着骨质的甲片，遇险就缩成一团。
狂飙		五四运动像一阵{狂飙}，席卷全国。
玉玺		传国的{玉玺}用和氏璧琢成，历代相争。
皎月		{皎月}当空，照得庭院如霜似雪。
真相大白		查了半年，案子总算{真相大白}。
睨视		他斜着眼{睨视}对方，满脸不屑。
砧板		厨房里传来刀落{砧板}的笃笃声。
祁连山脉		甘肃青海交界处那道雪峰，叫{祁连山脉}。
窈纠		月出皎兮，佳人行步{窈纠}，体态舒缓。
窈黑		洞里{窈黑}一片，火把照不到底。
竖箜篌		壁画上的乐伎怀抱{竖箜篌}，二十三弦。
竦立		他{竦立}阶下，屏息等候吩咐。
竹篾		编箩筐要先剖出一条条薄薄的{竹篾}。
糖苷		这味药的有效成分是一种{糖苷}。
紫钗记		汤显祖的「临川四梦」，头一部是《{紫钗记}》。
纂组		机上织出的{纂组}五色斑斓，价值不菲。
纵横驰骋		骑兵在平原上{纵横驰骋}，无人能挡。
结绮阁		陈后主为张丽华起了一座{结绮阁}，高数丈。
绾合		这门亲事是媒人从中{绾合}成的。
缁衣		他一身{缁衣}，看着像个方外之人。
羌笛		「{羌笛}何须怨杨柳」，王之涣写的是玉门关外。
羲和		神话里给太阳驾车的，是{羲和}。
翌年		那场大水过后，{翌年}春天才恢复元气。
耶律		辽国皇族姓{耶律}，后族姓萧。
肩胛		扁担压在{肩胛}上，磨出一道红印。
胥山		相传这座丘陵因纪念伍员而得名，故称{胥山}。
脏腑		中医讲究调理{脏腑}，不只看表面的症候。
舜禹		尧让位于贤，两代相承的明君并称{舜禹}。
花钿		她鬓边贴着一枚金{花钿}，光彩照人。
苑囿		古时天子的{苑囿}方圆百里，里面畜养禽兽。
苦谏		老臣{苦谏}数日，终于让君王回心转意。
荠菜		开春挖来的{荠菜}包饺子，最鲜。
蓍草		古人占卜，用龟甲，也用{蓍草}。
薯莨		南方用{薯莨}的汁液染布，染出的叫香云纱。
虞舜		上古那位以孝闻名、受尧禅让的君主，便是{虞舜}。
蝼蛄		{蝼蛄}前足像铲子，专在地下打洞咬根。
襄陵		洪水暴涨，浩浩{襄陵}，连山丘都淹了。
西岐		周文王起于{西岐}，后来三分天下有其二。
言简意赅		这段批语{言简意赅}，没有一个废字。
词笺	填词用的精致纸张。	案头压着几张素净的{词笺}，专供题写小令。
诚笃		此人为家{诚笃}，托付什么都放心。
诤臣		国有{诤臣}，不亡其国。
请郡		他在朝中不得志，索性上疏{请郡}，出守地方。
谗臣		君王身边若多{谗臣}，忠良必受其害。
趑趄		到了门口他又{趑趄}起来，终究没敢进去。
辇车		宫人推着{辇车}，缓缓穿过长廊。
遭谗		屈原{遭谗}被疏，忧愁幽思而作《离骚》。
邪佞		朝中{邪佞}当道，正直的人待不下去。
邯郸记		汤显祖取黄粱一梦的故事，写成《{邯郸记}》。
钲鼓		行军时{钲鼓}齐鸣，进退都听它号令。
问谏		他是局外人，本不该参与{问谏}。
陇右		汉唐经营{陇右}，为的是打通西域。
陛辞		外放的官员临行前要入宫{陛辞}。
陶埏		《荀子》以{陶埏}为喻，说人性要靠教化塑成。
霓裳羽衣		杨贵妃善舞《{霓裳羽衣}》，一曲倾城。
青衿		领子染作深蓝，古时以{青衿}称在学的书生。
青雘		古人取这种矿石作{青雘}，敷色经久不褪。
颍阳		巢父许由隐居{颍阳}，洗耳不听天下事。
颛臾		「季氏将伐{颛臾}」，孔子为此责备冉有。
香蕙	蕙草，一种香草，古人常用来比喻高洁。	屈原佩兰纫{香蕙}，以芳草自比。
马鬃		他一把攥住颈上的{马鬃}，翻身骑了上去。
骈体	骈文的体裁，讲究对仗工整、辞藻华美。	这篇序是{骈体}，四六对仗，讲究辞藻。
骈偶		六朝文章讲究{骈偶}，两两相对。
骈文		《滕王阁序》是{骈文}的名篇。
鲛人		传说海底有{鲛人}，泣泪成珠。
鸾鸟		传说中的{鸾鸟}，是凤凰一类的祥瑞之禽。
黍子		北方用{黍子}磨面做糕，黄澄澄的。
鼓槌		他抡起{鼓槌}，一通紧敲震得人心跳。

# ── 词典释义在打转，人工重写（「马厩→见马厩」「词笺→见词笺」这类）──
# 这一列写了就压过三本词典，留空才走词典。
鸾回	像神鸟盘旋回翔，形容舞姿或笔势的回环。	
嬉游	游玩，嬉戏。	
禳灾	用祭祷的办法消除灾祸。	
癞头蟆	蛤蟆，即蟾蜍。方言里的叫法。	
踌蹰	犹豫不决，拿不定主意。同「踌躇」。	
六幺	唐代乐曲名，又名《绿腰》，是有名的琵琶大曲。	
相缪	互相缭绕、盘结。《赤壁赋》「山川相缪」即此。	
凭阑	靠着栏杆。同「凭栏」。	
切磋	本指加工骨器玉石，引申为互相研讨、取长补短。	
恁的	这样，如此。宋元话本里的口语。同「恁地」。	
慵堕	懒散怠惰，提不起精神。	
珍馐	珍贵美味的食物。馐，美味。	
砒霜	剧毒的白色粉末，成分是三氧化二砷，旧时也入药。	
沾衿	泪水沾湿了衣襟。同「沾襟」。	
豁啷啷	象声词，形容金属碰撞或器物破碎的声响。	
麂子	鹿科小兽，比鹿小，善跳跃，皮可制革。	
青荇	水中的荇菜，叶子浮在水面。徐志摩「软泥上的青荇」即此。	
普陀山	浙江舟山群岛中的岛屿，佛教四大名山之一。	
咔嚓	象声词，形容折断、断裂或快门按下的声音。	
也欤	文言句末语气词连用，表示感叹或反问。	
